,Creature, Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +T , Level 1 , +W 
31,   Baryonyx ,440, 88 , 5.4 ,325, 32.5 ,10 ,225, 22.5 , ,2250, 225 ,10 ,325, 6.5 ,4 ,35 / 25, 1.75 / 1.25 ,1.7 ,100,1 ,400 , 24
32,   Basilisk ,2750, 550 , 5.4 ,650, 65 ,10 ,, , ,2500, 250 ,10 ,2200, 44 ,4 ,55 / 120, 2.75 / 6 ,1.7 ,100,1 ,175 , 10.5
33,   Basilisk Ghost ,2750, 550 , ,650, 65 , ,150, 15 , ,2500, 250 , ,2200, 44 , ,55 , 2.75  , ,100, ,175 , 10.5
34,   Basilosaurus ,2400, 480 , 4.86 ,300, 30 ,10 ,150, 15 , ,8000, 800 ,10 ,700, 14 ,4 ,47 , 2.35  ,1.7 ,100,1 ,2000 , 120
35,   Beelzebufo ,220, 44 , 5.4 ,190, 19 ,10 ,150, 15 , ,1500, 150 ,10 ,160, 3.2 ,4 ,12 / 20, 0.6 / 1 ,1.7 ,100,1 ,200 , 12
36,   Beelzemorbus ,60000, 12000 , ,450, 45 , ,150, 15 , ,2500, 250 , ,2500, 50 , ,? , ,0 ,100, ,300 , 18
37,   Bloodstalker ,450, 90 , 5.4 ,600, 60 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,350, 7 ,4 ,26 , 1.3  ,1.7 ,100,1.5 ,180 , 10.8
38,   Bone Fire Wyvern ,8000, 1200 , ,600, 30 , ,150, 15 , ,1800, 180 , ,400, 8 , ,140 , 7  , ,100, ,725 , 43.5
39,   Brontosaurus ,2070, 414 , 2.508 ,240, 24 ,10 ,150, 15 ,10 ,10000, 1000 ,10 ,1600, 32 ,4 ,60 , 3  ,1.7 ,100,2 ,2000 , 120
40,   Broodgenetrix ,60000, 12000 , ,150, 15 , ,150, 15 , ,1500, 150 , ,4000, 80 , ,? , ,0 ,100, ,100000 , 6000
41,   Broodmother Lysrix (Gamma) ,324000, 64800 , ,150, 15 , ,, , ,1500, 150 , ,4000, 80 , ,180 , 9  , ,100, ,100000 , 6000
42,   Broodmother Lysrix (The Center Gamma) ,356400, 71280 , ,150, 15 , ,, , ,1500, 150 , ,4000, 80 , ,210 , 10.5  , ,100, ,100000 , 6000
43,   Broodmother Lysrix (The Center Beta) ,421200, 84240 , ,150, 15 , ,, , ,1500, 150 , ,4000, 80 , ,280 , 14  , ,100, ,100000 , 6000
44,   Broodmother Lysrix (The Center Alpha) ,486000, 97200 , ,150, 15 , ,, , ,1500, 150 , ,4000, 80 , ,700 , 35  , ,100, ,100000 , 6000
45,   Broodmother Lysrix (Beta) ,648000, 97200 , ,150, 15 , ,, , ,1500, 150 , ,4000, 80 , ,320 , 11.2  , ,100, ,100000 , 6000
46,   Broodmother Lysrix (Alpha) ,972000, 243000 , ,150, 15 , ,, , ,1500, 150 , ,4000, 80 , ,540 , 40.5  , ,100, ,100000 , 6000
47,   Brute Araneo ,1850, 370 , ,250, 25 , ,300, 30 , ,900, 90 , ,200, 4 , ,20 , 1  , ,100, ,600 , 36
48,   Brute Astrocetus ,10000, 90 , ,900, 45 , ,, , ,7500, 750 , ,2500, 50 , ,88 , 3.52  , ,100, ,1500 , 90
49,   Brute Basilosaurus ,2400, 480 , ,300, 30 , ,150, 15 , ,8000, 800 , ,700, 14 , ,47 , 2.35  , ,100, ,2000 , 120
50,   Brute Bloodstalker ,2600, 780 , ,550, 55 , ,300, 30 , ,1800, 180 , ,400, 8 , ,72 , 3.6  , ,100, ,360 , 21.6
51,   Brute Ferox ,3900, 1170 , ,900, 90 , ,300, 30 , ,1800, 180 , ,700, 14 , ,152 , 7.6  , ,100, ,360 , 21.6
52,   Brute Fire Wyvern ,150000, 1500 , ,10000, 0 , ,2000, 0 , ,2600, 0 , ,4000, 0 , ,140 , 0  , ,100, ,350 , 21
53,   Brute Leedsichthys ,8400, 1512 , ,750, 75 , ,300, 30 , ,10000, 1000 , ,2400, 48 , ,174 , 0  , ,100, ,6750 , 405
54,   Brute Magmasaur ,2250, 675 , ,750, 37.5 , ,400, 40 , ,3000, 300 , ,750, 15 , ,59 , 1.77  , ,100, ,1450 , 87
55,   Brute Malfunctioned Tek Giganotosaurus ,10000, 450 , ,400, 0.2 , ,150, 0.375 , ,4000, 10 , ,700, 7 , ,430 , 21.5  , ,100, ,10000 , 600
56,   Brute Malfunctioned Tek Rex ,3950, 1185 , ,630, 63 , ,300, 30 , ,4000, 400 , ,850, 17 , ,135 , 6.75  , ,100, ,3100 , 186
57,   Brute Mammoth ,3800, 1140 , ,495, 49.5 , ,300, 30 , ,7500, 750 , ,1000, 20 , ,104 , 5.2  , ,100, ,1100 , 66
58,   Brute Megaloceros ,760, 228 , ,560, 56 , ,300, 30 , ,1800, 180 , ,440, 8.8 , ,55 , 2.75  , ,100, ,350 , 21
59,   Brute Megaloceros ,2350, 705 , ,560, 56 , ,300, 30 , ,1800, 180 , ,440, 8.8 , ,55 , 2.75  , ,100, ,350 , 21
60,   Brute Plesiosaur ,5100, 918 , ,1200, 120 , ,300, 30 , ,7500, 750 , ,1200, 24 , ,134 , 6.7  , ,100, ,2400 , 144
61,   Brute Reaper King ,2500, 500 , ,480, 48 , ,150, 15 , ,3000, 300 , ,415, 8.3 , ,52 , 2.6  , ,100, ,925 , 55.5
62,   Brute Sarco ,2700, 810 , ,450, 45 , ,150, 15 , ,2250, 225 , ,600, 12 , ,98 , 4.9  , ,100, ,800 , 48
63,   Brute Seeker ,680, 204 , ,250, 25 , ,300, 30 , ,1750, 175 , ,280, 5.6 , ,10 , 0.5  , ,100, ,600 , 36
64,   Brute Tusoteuthis ,7400, 2220 , ,450, 45 , ,330, 33 , ,4200, 420 , ,1200, 24 , ,98 , 4.9  , ,100, ,2700 , 162
65,   Brute X-Allosaurus ,1750, 525 , ,500, 50 , ,300, 30 , ,4000, 400 , ,560, 11.2 , ,59 , 2.95  , ,100, ,2000 , 120
66,   Brute X-Megalodon ,2600, 780 , ,640, 64 , ,300, 30 , ,3000, 300 , ,500, 10 , ,110 , 5.5  , ,100, ,1200 , 72
67,   Brute X-Mosasaurus ,5300, 954 , ,600, 60 , ,300, 30 , ,10000, 1000 , ,1800, 36 , ,146 , 7.3  , ,100, ,6000 , 360
68,   Brute X-Raptor ,820, 246 , ,250, 25 , ,300, 30 , ,1750, 175 , ,280, 5.6 , ,110 , 5.5  , ,100, ,600 , 36
69,   Brute X-Rex ,3950, 1185 , ,630, 63 , ,300, 30 , ,4000, 400 , ,850, 17 , ,135 , 6.75  , ,100, ,3100 , 186
70,   Brute X-Rock Elemental ,2100, 36.75 , ,450, 45 , ,300, 30 , ,7500, 750 , ,880, 17.6 , ,136 , 6.8  , ,100, ,6500 , 390
71,   Brute X-Spino ,3200, 960 , ,700, 70 , ,1000, 100 , ,3400, 340 , ,700, 14 , ,92 , 4.6  , ,100, ,1250 , 75
72,   Brute X-Yutyrannus ,3300, 990 , ,840, 84 , ,300, 30 , ,3800, 380 , ,750, 15 , ,110 , 5.5  , ,100, ,3100 , 186
73,   Bulbdog ,145, 29 , 5.4 ,200, 24 ,12 ,165, 18.15 ,11 ,450, 45 ,10 ,120, 2.4 ,4 ,12 , 0.6  ,1.7 ,100,1 ,60 , 3.6
74,   Bulbdog Ghost ,145, 29 , ,200, 24 , ,165, 18.15 , ,450, 45 , ,120, 2.4 , ,12 , 0.6  , ,100, ,60 , 3.6
75,   Bunny Dodo ,40, 8 , ,100, 10 , ,150, 15 , ,450, 45 , ,50, 1 , ,5 , 0.25  , ,100, ,30 , 1.8
76,   Carbonemys ,700, 140 , 5.4 ,200, 20 ,10 ,150, 15 , ,3000, 300 ,10 ,270, 5.4 ,4 ,13 , 0.65  ,1.7 ,100,1 ,275 , 16.5
77,   Carnotaurus (Corrupted) ,420, 84 , ,300, 30 ,0 ,150, 15 ,0 ,2000, 200 ,0 ,300, 6 ,0 ,35 , 1.75  ,0 ,100, ,350 , 21
78,   Carnotaurus ,420, 84 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,2000, 200 ,10 ,300, 6 ,4 ,35 , 1.75  ,1.7 ,100,1.25 ,350 , 21
79,   Carnotaurus (Aberrant) ,420, 84 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,2000, 200 ,10 ,300, 6 ,4 ,35 , 1.75  ,1.7 ,100,1.25 ,350 , 21
80,   Castoroides ,450, 90 , 5.4 ,180, 18 ,10 ,750, 75 ,10 ,2000, 200 ,10 ,300, 6 ,4 ,28 , 1.12  ,1.7 ,100,1 ,350 , 21
81,   Chalicotherium (Corrupted) ,600, 120 , ,300, 30 ,0 ,150, 15 ,0 ,4000, 400 ,0 ,400, 8 ,0 ,36 , 1.8  ,0 ,100, ,500 , 30
82,   Chalicotherium ,600, 120 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,4000, 400 ,10 ,400, 8 ,4 ,36 / 32, 1.8 / 1.6 ,1.7 ,100,1 ,500 , 30
83,   Cnidaria ,180, 36 , ,120, 12 ,0 ,, , ,1200, 120 ,0 ,25, 0.5 ,0 ,30 , 1.5  ,0 ,100, ,250 , 15
84,   Coelacanth ,30, 6 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,8, 0.16 ,0 ,5 , 0.25  ,0 ,100, ,15 , 0.9
85,   Compy ,50, 10 , 6.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,25, 0.5 ,4 ,4 , 0.2  ,1.7 ,100,1 ,25 , 1.5
86,   Corrupted Avatar ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
87,   Corrupted Master Controller (Gamma) ,25000, 5000 , ,100, 10 , ,150, 15 , ,100, 10 , ,100, 2 , ,? , , ,100, ,100 , 6
88,   Corrupted Master Controller (Beta) ,60000, 12000 , ,100, 10 , ,150, 15 , ,100, 10 , ,100, 2 , ,? , , ,100, ,100 , 6
89,   Corrupted Master Controller (Alpha) ,150000, 30000 , ,100, 10 , ,150, 15 , ,100, 10 , ,100, 2 , ,? , , ,100, ,100 , 6
90,   Crystal Wyvern ,1000, 150 , ,325, 16.25 , ,150, 15 , ,1500, 150 , ,300, 6 , ,45 , 2.25  , ,100, ,545 , 32.7
91,   Crystal Wyvern ,1295, 194.25 , 4.05 ,325, 16.25 ,5 ,150, 15 ,10 ,1500, 150 ,10 ,300, 6 ,4 ,45 , 2.25  ,1.7 ,100, ,545 , 32.7
92,   Crystal Wyvern Queen ,400000, 60000 , ,2500, 125 , ,1000, 100 , ,5000, 500 , ,4000, 80 , ,160 , 8  , ,100, ,1000 , 60
93,   Crystal Wyvern Queen ,675000, 101250 , ,2500, 125 , ,1000, 100 , ,5000, 500 , ,4000, 80 , ,160 , 8  , ,100, ,1000 , 60
94,   Crystal Wyvern Queen ,950000, 142500 , ,2500, 125 , ,1000, 100 , ,5000, 500 , ,4000, 80 , ,160 , 8  , ,100, ,1000 , 60
95,   Cubozoa Multis ,180, 36 , ,120, 12 , ,150, 15 , ,1200, 120 , ,25, 0.5 , ,? , ,0 ,100, ,250 , 15
96,   Daeodon ,900, 180 , 5.4 ,250, 25 ,10 ,150, 15 ,10 ,2500, 250 ,10 ,400, 8 ,4 ,29 , 1.45  ,1.7 ,100,1 ,800 , 48
97,   Deathworm (Minion) ,1725, 3.45 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,100, 2 ,0 ,225 , 11.25  ,0 ,100, ,100 , 6
98,   Deathworm ,20000, 40 , ,100, 10 ,0 ,, , ,100, 10 ,0 ,100, 2 ,0 ,225 , 11.25  ,0 ,100, ,100 , 6
99,   Defense Unit (Gamma) ,924.0001, 184.80002 , ,2000, 200 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,1500, 30 ,0 ,35 , 1.75  ,0 ,100, ,420 , 25.2
100,   Defense Unit (Beta) ,1848.0001, 369.60002 , ,2000, 200 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,1500, 30 ,0 ,35 , 1.75  ,0 ,100, ,420 , 25.2
101,   Defense Unit (Alpha) ,2772, 554.4 , ,2000, 200 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,1500, 30 ,0 ,35 , 1.75  ,0 ,100, ,420 , 25.2
102,   Deinonychus ,200, 40 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,140, 2.8 ,4 ,30 / 30, 1.5 / 1.5 ,1.7 ,100,1.5 ,180 , 10.8
103,   Desert Titan ,4000, 800 , 5.4 ,10000, 1000 ,10 ,150, 15 ,10 ,100, 10 ,10 ,100, 2 ,4 ,15 , 0.75  ,1.7 ,100,1 ,100 , 6
104,   Desert Titan ,250000, 0 , ,5000, 0 ,0 ,150, 0 ,0 ,864, 0 ,0 ,9000, 0 ,0 ,0 , 0  ,0 ,100, ,30094 , 1805.64
105,   Dilophosaur (Corrupted) ,130, 26 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,45, 0.9 ,0 ,10 , 0.5  ,0 ,100, ,75 , 4.5
106,   Dilophosaur ,130, 26 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,45, 0.9 ,4 ,10 / 3, 0.5 / 0.15 ,1.7 ,100,1 ,75 , 4.5
107,   Dimetrodon ,350, 70 , 5.4 ,300, 30 ,10 ,500, 50 , ,1500, 150 ,10 ,250, 5 ,4 ,20 , 0.4  ,0.68 ,100,1 ,750 , 45
108,   Dimorphodon ,125, 25 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,900, 90 ,10 ,50, 1 ,4 ,23 , 1.15  ,1.7 ,100,1 ,100 , 6
109,   Diplocaulus ,250, 50 , 5.4 ,165, 16.5 ,10 ,1050, 105 ,10 ,1500, 150 ,10 ,150, 3 ,4 ,10 , 0.5  ,1.7 ,100,1 ,220 , 13.2
110,   Diplodocus ,1700, 340 , 5.4 ,550, 55 ,10 ,300, 30 ,10 ,10000, 1000 ,10 ,800, 16 ,4 ,0 , 0  ,0 ,100,1 ,3000 , 180
111,   Dire Bear ,400, 80 , 5.4 ,500, 50 ,10 ,270, 27 ,10 ,3000, 300 ,10 ,650, 13 ,4 ,50 / 65, 2.5 / 3.25 ,1.7 ,100,1 ,1000 , 60
112,   Dire Bear ,800, 160 , ,500, 50 , ,270, 27 , ,3000, 300 , ,650, 13 , ,50 / 65, 2.5 / 3.25 , ,100, ,1000 , 60
113,   Direwolf ,330, 66 , 5.4 ,260, 26 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,170, 3.4 ,4 ,33 , 1.65  ,1.7 ,100,1 ,450 , 27
114,   Direwolf Ghost ,330, 66 , ,260, 26 , ,150, 15 , ,1200, 120 , ,170, 3.4 , ,33 , 1.65  , ,100, ,450 , 27
115,   Dodo ,40, 8 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,50, 1 ,4 ,5 , 0.25  ,1.7 ,100,1 ,30 , 1.8
116,   Dodo Wyvern ,666666, 133333.2 , ,400, 40 ,0 ,2000, 200 ,0 ,2600, 260 ,0 ,3000, 60 ,0 ,600 , 30  , ,100, ,350 , 21
117,   Dodobitus ,85000, 0 , ,650, 0 , ,2000, 0 , ,2600, 0 , ,2000, 40 , ,? , ,0 ,100, ,350 , 21
118,   DodoRex ,666666, 133333.2 , 5.4 ,1666, 166.6 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,500, 10 ,4 ,666 , 33.3  ,1.7 ,100,1 ,1550 , 93
119,   Doedicurus ,850, 170 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,250, 5 ,4 ,32 / 16, 1.6 / 0.8 ,1.7 ,100,2 ,800 , 48
120,   Doedicurus Vastus ,60000, 12000 , ,300, 30 , ,150, 15 , ,3000, 300 , ,250, 5 , ,? , ,0 ,100, ,800 , 48
121,   Dragon (Gamma) ,432000, 86400 , ,10000, 1000 , ,, , ,2600, 260 , ,4000, 80 , ,0 , 0  , ,100, ,350 , 21
122,   Dragon (Beta) ,864000, 172800 , ,10000, 1000 , ,, , ,2600, 260 , ,4000, 80 , ,0 , 0  , ,100, ,350 , 21
123,   Dragon (Alpha) ,972000, 243000 , ,10000, 1000 , ,, , ,2600, 260 , ,4000, 80 , ,0 , 0  , ,100, ,350 , 21
124,   Dung Beetle ,200, 40 , 2.7 ,100, 10 ,10 ,150, 15 ,10 ,900, 90 ,10 ,5, 0.1 ,8 ,5 , 0.25  ,1.7 ,100,1 ,200 , 12
125,   Dunkleosteus ,710, 142 , 5.4 ,200, 20 ,10 ,150, 15 ,10 ,2000, 200 ,10 ,910, 18.2 ,4 ,60 , 3  ,1.7 ,100,1 ,1150 , 69
126,   Electrophorus ,180, 36 , 5.4 ,165, 16.5 ,10 ,1050, 105 ,10 ,1500, 150 ,10 ,150, 3 ,4 ,3 / 15, 0.15 / 0.75 ,1.7 ,100,1 ,175 , 10.5
127,   Enforcer ,375, 75 , 5.4 ,450, 45 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,800, 16 ,4 ,34 , 1.7  ,1.7 ,100,1 ,5000 , 300
128,   Enraged Corrupted Rex ,8500, 1700 , ,420, 42 ,0 ,, , ,3000, 300 ,0 ,500, 10 ,0 ,200 , 10  ,0 ,100, ,1550 , 93
129,   Enraged Triceratops ,2500, 500 , ,150, 15 , ,150, 15 , ,3000, 300 , ,365, 7.3 , ,0 , 0  ,0 ,, ,250 , 15
130,   Equus ,240, 48 , 5.4 ,560, 56 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,350, 7 ,4 ,9 / 11, 0.45 / 0.55 ,1.7 ,100,1.75 ,420 , 25.2
131,   Eurypterid ,160, 32 , ,100, 10 ,0 ,, , ,450, 45 ,0 ,150, 3 ,0 ,7 , 0.35  ,0 ,100, ,50 , 3
132,   Featherlight ,115, 23 , 5.4 ,100, 10 ,10 ,180, 19.8 ,11 ,450, 45 ,10 ,70, 1.4 ,4 ,3 , 0.195  ,2.04 ,100,1 ,60 , 3.6
133,   Ferox ,55, 11 , 5.4 ,100, 10 ,10 ,150, 15 ,10 ,450, 45 ,10 ,120, 2.4 ,4 ,5 , 0.25  ,1.7 ,100,1 ,30 , 1.8
134,   Ferox ,1100, 220 , 5.4 ,1000, 100 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,350, 7 ,4 ,46 , 2.3  ,1.7 ,100,0.1 ,180 , 10.8
135,   Forest Titan ,400000, 0 , ,6000, 0 ,0 ,150, 0 ,0 ,864, 0 ,0 ,50000, 0 ,0 ,0 , 0  ,0 ,100, ,1818800 , 109128
136,   Gacha ,750, 150 , 5.4 ,325, 32.5 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,550, 22 ,4 ,32 , 1.6  ,1.7 ,100,1 ,600 , 36
137,   GachaClaus ,750, 150 , ,325, 32.5 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,550, 22 ,0 ,32 , 1.6  ,0 ,100, ,600 , 36
138,   Gallimimus ,150, 30 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,1000, 100 ,10 ,270, 5.4 ,4 ,8 , 0.4  ,3.4 ,100,1 ,420 , 25.2
139,   Gasbags ,650, 130 , 5.4 ,600, 60 ,10 ,1000, 90 ,9 ,3500, 350 ,10 ,3000, 60 ,1.25 ,5 , 0.25  ,1.7 ,100,1.5 ,450 , 27
140,   Giant Bee ,80, 16 , 5.4 ,200, 20 ,10 ,150, 15 ,10 ,450, 45 ,10 ,150, 3 ,4 ,8 , 0.4  ,1.7 ,100,1 ,400 , 24
141,   Giant Bee ,200, 40 , ,200, 20 , ,150, 15 , ,450, 45 , ,150, 3 , ,12 , 0.6  , ,100, ,400 , 24
142,   Giganotosaurus (Corrupted) ,35000, 17.5 , ,400, 0.2 , ,150, 0.375 , ,4000, 10 , ,700, 7 , ,250 , 12.5  , ,100, ,10000 , 600
143,   Giganotosaurus ,80000, 40 , 0.04 ,400, 0.2 ,1 ,150, 0.375 ,2.5 ,4000, 10 ,2.5 ,700, 7 ,1 ,500 , 25  ,0.85 ,100,0.31 ,10000 , 600
144,   Gigantopithecus ,640, 64 , 5.4 ,300, 30 ,10 ,150, 15 ,10 ,1500, 150 ,10 ,220, 4.4 ,4 ,40 / 60, 1.6 / 2.4 ,1.7 ,100,1 ,1100 , 66
145,   Glowbug ,75, 15 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,50, 1 ,0 ,18 , 0.9  ,0 ,100, ,100 , 6
146,   Glowtail ,115, 23 , 5.4 ,100, 10 ,12.5 ,200, 24 ,11.5 ,450, 45 ,10 ,70, 1.4 ,4 ,12 , 0.66  ,1.87 ,100,1 ,60 , 3.6
147,   Golden Striped Brute Megalodon ,2600, 780 , ,640, 64 , ,300, 30 , ,3000, 300 , ,500, 10 , ,110 , 5.5  ,0 ,, , , 
148,   Golden Striped Megalodon ,, , ,?, , ,, , ,?, , ,?, , ,? , ,0 ,, , , 
149,   Griffin ,950, 142.5 , 4.32 ,225, 11.25 ,6 ,150, 15 ,10 ,1600, 160 ,10 ,280, 5.6 ,4 ,27 / 12, 1.35 / 0.6 ,1.7 ,100, ,1500 , 90
150,   Gula Beetle ,50000, 0 , ,100, 0 , ,150, 0 , ,900, 0 , ,5, 0 , ,? , ,0 ,100, ,200 , 12
151,   Hesperornis ,95, 19 , 5.4 ,200, 20 ,10 ,, , ,900, 90 ,10 ,70, 1.4 ,4 ,1 / 25, 0.05 / 1.25 ,1.7 ,100,1 ,300 , 18
152,   Hyaenodon ,175, 35 , 5.4 ,260, 26 ,10 ,150, 15 ,10 ,1200, 120 ,10 ,170, 3.4 ,4 ,15 , 0.75  ,1.7 ,100,2.5 ,450 , 27
